psu;area;region;region_01;rate_cm;rate_nutr;rate_satt;rate_educ;rate_elct;rate_wtr;rate_sani;rate_hsg;rate_ckfl;rate_asst;depr_cm;depr_nutr;depr_educ;depr_satt;depr_wtr;depr_sani;depr_hsg;depr_elct;depr_asst;depr_ckfl;mpi_met4
109;urban;Banteay Meanchay;Banteay Meanchay;0;0.27272728;0.090909094;0.27272728;0.090909094;0;0.27272728;0.18181819;1;0;0;1;1;0;0;0;0;1;0;1;0.44444445
110;urban;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0.083333336;0.5;0;0.083333336;0.58333331;0.83333331;0.75;0.16666667;1;0.25;1;1;0;0;1;1;0;1;0;1;0.55555558
111;urban;Otdar Meanchey;Otdar Meanchey;0.083333336;0.33333334;0.16666667;0.75;1;1;1;0.16666667;1;0.66666669;1;1;1;1;1;1;0;1;1;1;0.94444442
112;urban;Kratie;Kratie;0.083333336;0.33333334;0.5;0.5;1;0.75;1;0.75;1;0.41666666;1;1;1;1;1;1;1;1;0;1;0.94444442
113;rural;Kratie;Kratie;0;0.42857143;0.35714287;0.78571427;1;0.14285715;0.5;0.5714286;1;0.5714286;0;1;1;1;0;1;1;1;0;1;0.72222221
114;urban;Phnom Penh;Phnom Penh;0;0.18181819;0;0.090909094;0;0;0.18181819;0;0.36363637;0;0;1;0;0;0;0;0;0;0;1;0.22222222
115;rural;Kampong Cham;Kampong Cham;0.07692308;0.61538464;0.23076923;0.46153846;0.76923078;0.07692308;0.92307693;0.76923078;1;0.38461539;1;1;1;1;0;1;1;1;0;1;0.8888889
116;urban;Kampong Chhnang;Kampong Chhnang;0.083333336;0.16666667;0;0.16666667;0.33333334;0.25;0.5;0.33333334;0.83333331;0.16666667;1;1;1;0;0;1;0;1;0;1;0.66666669
117;urban;Kandal;Kandal;0;0.2;0.090909094;0.36363637;0;0;0.18181819;0.090909094;0.36363637;0.090909094;0;1;1;0;0;0;0;0;0;1;0.3888889
118;rural;Kampong Speu;Kampong Speu;0.071428575;0.2857143;0.071428575;0.5714286;1;0.071428575;1;0.85714287;1;0.5;1;1;1;0;0;1;1;1;0;1;0.72222221
119;urban;Kampot & Kep;Kampot & Kep;0.083333336;0.27272728;0.083333336;0.33333334;0.16666667;0.25;0.41666666;0.25;0.83333331;0.083333336;1;1;1;0;0;0;0;1;0;1;0.6111111
120;rural;Battambang & Pailin;Battambang & Pailin;0.21428572;0.2857143;0.21428572;0.5;1;0.21428572;0.71428573;0.78571427;1;0.21428572;1;1;1;1;0;1;1;1;0;1;0.8888889
121;urban;Banteay Meanchay;Banteay Meanchay;0.22222222;0.25;0.2;1;1;0.89999998;1;0.89999998;1;0.69999999;1;1;1;1;1;1;1;1;1;1;1
122;rural;Siem Reap;Siem Reap;0;0.46153846;0.23076923;0.53846157;0.53846157;0.92307693;1;1;1;0.38461539;0;1;1;1;1;1;1;1;0;1;0.77777779
123;rural;Kandal;Kandal;0.071428575;0.14285715;0.14285715;0.21428572;0.2857143;0.9285714;0.64285713;0.42857143;0.9285714;0.071428575;1;1;1;0;1;1;0;1;0;1;0.72222221
124;rural;Pursat;Pursat;0;0.33333334;0.30769232;0.76923078;1;0.84615386;0.92307693;0.38461539;1;0.30769232;0;1;1;1;1;1;0;1;0;1;0.72222221
125;rural;Kampong Chhnang;Kampong Chhnang;0.07692308;0.15384616;0.15384616;0.38461539;1;0.61538464;0.76923078;0.53846157;1;0.30769232;1;1;1;0;1;1;1;1;0;1;0.77777779
126;rural;Kampong Chhnang;Kampong Chhnang;0.071428575;0.35714287;0.071428575;0.35714287;1;0.78571427;1;0.64285713;1;0.14285715;1;1;1;0;1;1;1;1;0;1;0.77777779
127;rural;Kampot & Kep;Kampot & Kep;0.071428575;0.42857143;0.21428572;0.5;1;0.71428573;0.78571427;0.2857143;1;0.14285715;1;1;1;1;1;1;0;1;0;1;0.8888889
128;rural;Mondul Kiri and Ratanak Kiri;Mondul Kiri and Ratanak Kiri;0.071428575;0.78571427;0.64285713;0.78571427;1;0.14285715;1;0.78571427;1;0.85714287;1;1;1;1;0;1;1;1;1;1;0.94444442
129;rural;Phnom Penh;Phnom Penh;0;0.090909094;0.090909094;0.45454547;0.54545456;0.27272728;0.72727275;0.36363637;0.90909094;0;0;0;1;0;0;1;0;1;0;1;0.33333334
130;rural;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0.15384616;0.46153846;0.23076923;0.69230771;1;1;1;0.76923078;1;0.76923078;1;1;1;1;1;1;1;1;1;1;1
131;rural;Kampong Cham;Kampong Cham;0;0.21428572;0.14285715;0.5;1;0.5714286;1;0.85714287;1;0.42857143;0;1;1;0;1;1;1;1;0;1;0.6111111
132;rural;Battambang & Pailin;Battambang & Pailin;0;0.23076923;0.07692308;0.15384616;0.69230771;0.84615386;0.69230771;0.84615386;1;0.07692308;0;1;1;0;1;1;1;1;0;1;0.6111111
133;rural;Otdar Meanchey;Otdar Meanchey;0.16666667;0.083333336;0.16666667;0.66666669;1;0.33333334;0.75;0.66666669;1;0.5;1;0;1;1;1;1;1;1;0;1;0.77777779
134;urban;Takeo;Takeo;0;0.33333334;0.16666667;0;0.83333331;0.66666669;0.75;0.16666667;0.91666669;0.083333336;0;1;0;1;1;1;0;1;0;1;0.55555558
135;rural;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0;0.5;0.07692308;0.61538464;1;0.15384616;1;0.76923078;1;0.38461539;0;1;1;0;0;1;1;1;0;1;0.55555558
136;rural;Kampong Thom;Kampong Thom;0;0.46153846;0.2857143;0.71428573;1;0.35714287;0.9285714;0.64285713;1;0.2857143;0;1;1;1;1;1;1;1;0;1;0.77777779
137;rural;Preah Sihanouk and Koh Kong;Preah Sihanouk and Koh Kong;0.07692308;0.5;0.07692308;0.66666669;0.92307693;0.69230771;1;0.53846157;1;0.61538464;1;1;1;0;1;1;1;1;0;1;0.77777779
138;rural;Kampong Chhnang;Kampong Chhnang;0.07692308;0.35714287;0.21428572;0.42857143;1;0.85714287;0.9285714;0.85714287;1;0.2857143;1;1;1;1;1;1;1;1;0;1;0.94444442
139;rural;Kampong Cham;Kampong Cham;0;0.42857143;0.14285715;0.5714286;1;0.2857143;0.85714287;0.42857143;1;0.14285715;0;1;1;0;0;1;0;1;0;1;0.5
140;rural;Mondul Kiri and Ratanak Kiri;Mondul Kiri and Ratanak Kiri;0.071428575;0.64285713;0.5714286;0.85714287;1;0.42857143;1;0.64285713;1;0.2857143;1;1;1;1;1;1;1;1;0;1;0.94444442
